file_name,drawing_title,drawing_number,revision,latest_revision,latest_date,latest_reason,table_title,status
L01-H01D01-FOS-00-XX-MUP-AR-80050[T0].pdf,Mockup External Wall Systems Typical Façade Section Details MEP Door Details,L01-H01D01-FOS-00-XX-MUP-AR-80050,T0,T0,,Issued for Tender,Construction Procurement,SUCCESS
L01-H01D02-WSP-75-XX-MUP-IC-80301[T1].pdf,Mock-up Room GRMS  Layout,L01-H01D02-WSP-75-XX-MUP-IC-80301,T1,T0,26/10/2023,Issued for Tender,Construction Procurement,SUCCESS
L02-R02D01-FOS-00-XX-DWG-AR-00001[07].pdf,,L02-R02D01-FOS-00-XX-DWG-AR-00001,07,,,,Design Development,SUCCESS
L02-R02DXX-RSG-00-ZZ-SKT-LS-12801[N0] - Sample Sketch.pdf,,L02-R02DXX-RSG-00-ZZ-SKT-LS-12801,N0,N0,,Issued for Construction,Construction Procurement,SUCCESS
L02-R02DXX-RSG-BN-ZZ-SKT-LS-11435[N0] - Sample Sketch.pdf,,L02-R02DXX-RSG-BN-ZZ-SKT-LS-11435,N0,N0,,Issued for Construction,Construction Procurement,SUCCESS
L04-A04D02-CHP-16-00-DWG-SP-10001[N0].pdf,Main Pool Piping & Conduit Overall Layout,L04-A04D02-CHP-16-00-DWG-SP-10001,N0,2N0,13/08/25,ISSUED FOR CONSTRUCTION AR,Construction Procurement,SUCCESS
