file_name,drawing_title,drawing_number,revision,latest_revision,latest_date,latest_reason,table_title,status
L01-H01D01-FOS-00-XX-MUP-AR-80050[T0].pdf,Ring-R163 EWS-551/ DRS-103 Typical MEP Door Section Detail,L01-H01D01-FOS-00-XX-MUP-AR-80050,01,01,13/10/20,CONSTRUCTION PROCUREMENT,Construction Procurement,"FAILED - Title mismatch: got 'Ring-R163 EWS-551/ DRS-103 Typical MEP Door Section Detail', expected 'Mockup External Wall Systems Typical Façade Section Details MEP Door Details'; Revision mismatch: got '01', expected 'T0'; Reason mismatch: got 'CONSTRUCTION PROCUREMENT', expected 'Issued for Tender'"
L01-H01D02-WSP-75-XX-MUP-IC-80301[T1].pdf,EXTERNAL ROOM ENTRY CORRIDOR STATUS INDICATION PANEL,L01-H01D02-WSP-75-XX-MOD-CS-06791,01,01,07/11/20,ISSUED FOR TENDER,Construction Procurement,"FAILED - Title mismatch: got 'EXTERNAL ROOM ENTRY CORRIDOR STATUS INDICATION PANEL', expected 'Mock-up Room GRMS Layout'; Revision mismatch: got '01', expected 'T1'; Reason mismatch: got 'ISSUED FOR TENDER', expected 'Issued for Tender'"
L02-R02D01-FOS-00-XX-DWG-AR-00001[07].pdf,Task Information Manager,L02-R02D01-FOS-00-XX-DWG-AR-00001,07,07,07/03/20,Design Development,Design Development,"FAILED - Title mismatch: got 'Task Information Manager', expected 'Technical and Project Information Cover Sheet'; Reason mismatch: got 'Design Development', expected '100% Design Development -'"
L02-R02DXX-RSG-00-ZZ-SKT-LS-12801[N0] - Sample Sketch.pdf,POOL ENLARGEMENT 60a,L02-R02DXX-RSG-00-ZZ-SKT-LS-12801,00,00,31/07/25,Issued For Construction,Construction Procurement,"FAILED - Title mismatch: got 'POOL ENLARGEMENT 60a', expected 'Pool Enlargement Plan'; Revision mismatch: got '00', expected 'N0'; Reason mismatch: got 'Issued For Construction', expected 'Issued for Construction'"
L02-R02DXX-RSG-BN-ZZ-SKT-LS-11435[N0] - Sample Sketch.pdf,DRAINAGE LEGEND,L02-R02DXX-RSG-BN-ZZ-SKT-LS-11435,00,00,31/07/25,Issued For Construction,Construction Procurement,"FAILED - Title mismatch: got 'DRAINAGE LEGEND', expected 'Grading and Drainage Plan 19/34'; Revision mismatch: got '00', expected 'N0'; Reason mismatch: got 'Issued For Construction', expected 'Issued for Construction'"
L04-A04D02-CHP-16-00-DWG-SP-10001[N0].pdf,Main Pool Piping & Conduit Overall,L04-A04D02-CHP-16-00-DWG-SP-10001,07,07,13/08/25,ISSUED FOR CONSTRUCTION,Construction Procurement,"FAILED - Title mismatch: got 'Main Pool Piping & Conduit Overall', expected 'Main Pool Piping & Conduit Overall Layout'; Revision mismatch: got '07', expected 'N0'; Reason mismatch: got 'ISSUED FOR CONSTRUCTION', expected 'Issued for Construction'"
