file_name,drawing_title,drawing_number,revision,latest_revision,latest_date,latest_reason,table_title,status
L01-H01D01-FOS-00-XX-MUP-AR-80050[T0].pdf,Typical Façade Section Details,L01-H01D01-FOS-00-XX-MUP-AR-80050,,,13/10/2023,Tender,Construction,FAILED - Revision not found in history
L01-H01D02-WSP-75-XX-MUP-IC-80301[T1].pdf,Mock-up Room,L01-H01D02-WSP-75-XX-MUP-IC-80301,,,07/11/2024,ISSUED FOR TENDER,Construction Procurement,FAILED - Revision not found in history
L02-R02D01-FOS-00-XX-DWG-AR-00001[07].pdf,Villas South Community,L02-R02D01-FOS-00-XX-DWG-AR-00001,22,22,07/03/2024,Design Development,Construction,SUCCESS
L02-R02DXX-RSG-00-ZZ-SKT-LS-12801[N0] - Sample Sketch.pdf,POOL ENLARGEMENT 60Ua,,15,,,,Construction Procurement,FAILED - Revision not found in history
L02-R02DXX-RSG-BN-ZZ-SKT-LS-11435[N0] - Sample Sketch.pdf,GRADING LEGEND,L02-R02DXX-RSG-BN-ZZ-SKT-LS-11435,50,,,,Construction Procurement,FAILED - Revision not found in history
L04-A04D02-CHP-16-00-DWG-SP-10001[N0].pdf,Main Pool Piping & Conduit Overall Layout,,23,,,,Construction,FAILED - Revision not found in history
